  | 2025-04-06 19:33:40,589 - migrate_database - INFO - WHMCS-velden en ontbrekende kolommen toegevoegd aan invoices tabel
flask_web  | 2025-04-06 19:33:40,589 - migrate_database - INFO - WHMCS-velden toegevoegd aan system_settings tabel
flask_web  | 2025-04-06 19:33:40,590 - migrate_database - INFO - Migratie van WHMCS-velden voltooid
flask_web  | 2025-04-06 19:33:40,590 - app - INFO - Database migraties succesvol uitgevoerd
flask_web  | 2025-04-06 19:33:40,597 - database - INFO - Tabel invoices kolommen vernieuwd: id, invoice_number, customer_id, date, invoice_type, amount_excl_vat, amount_incl_vat, vat_rate, vat_amount, file_path, status, created_at, updated_at, workspace_id
flask_web  | 2025-04-06 19:33:40,601 - database - INFO - Tabel customers kolommen vernieuwd: id, company_name, vat_number, first_name, last_name, email, phone, street, house_number, postal_code, city, country, customer_type, workspace_id, default_vat_rate, created_at, updated_at
flask_web  | 2025-04-06 19:33:40,605 - database - INFO - Tabel workspaces kolommen vernieuwd: id, name, description, domain, is_active, subscription_id, subscription_start_date, subscription_end_date, extra_users, billing_cycle, created_at, updated_at
flask_web  | 2025-04-06 19:33:40,609 - database - INFO - Tabel system_settings kolommen vernieuwd: id, key, value, whmcs_api_url, whmcs_api_identifier, whmcs_api_secret, whmcs_auto_sync, whmcs_last_sync, system_version, last_backup, created_at, updated_at
flask_web  | 2025-04-06 19:33:40,614 - database - INFO - Tabel invoices kolommen vernieuwd: id, invoice_number, customer_id, date, invoice_type, amount_excl_vat, amount_incl_vat, vat_rate, vat_amount, file_path, status, created_at, updated_at, workspace_id
flask_web  | 2025-04-06 19:33:40,614 - database - INFO - Tabel system_settings kolommen vernieuwd: id, key, value, whmcs_api_url, whmcs_api_identifier, whmcs_api_secret, whmcs_auto_sync, whmcs_last_sync, system_version, last_backup, created_at, updated_at
flask_web  | 2025-04-06 19:33:40,618 - database - INFO - Tabel customers kolommen vernieuwd: id, company_name, vat_number, first_name, last_name, email, phone, street, house_number, postal_code, city, country, customer_type, workspace_id, default_vat_rate, created_at, updated_at
flask_web  | 2025-04-06 19:33:40,622 - database - INFO - Tabel workspaces kolommen vernieuwd: id, name, description, domain, is_active, subscription_id, subscription_start_date, subscription_end_date, extra_users, billing_cycle, created_at, updated_at
flask_web  | 2025-04-06 19:33:40,625 - app - INFO - Logs monitoring system geregistreerd
